"Hugo_Symbol","Entrez_Gene_Id","HR","pvalue","qvalue"
"SST",6750,1.35019822143835,0.000799966863639686,0.160019458603925
"TGM2",7052,1.38257710160588,0.000798795872457311,0.160019458603925
"POM121L9P",29774,1.30129321799424,0.000798195911758771,0.160019458603925
"WNT10B",7480,1.36371971059698,0.000832951690240951,0.161355894268465
"PLK2",10769,1.29696102951002,0.000826054004372175,0.161355894268465
"ANKRD1",27063,1.30704995451333,0.000831337404426904,0.161355894268465
"NEUROD6",63974,1.36650569702975,0.000842798067423885,0.161562633695852
"RND1",27289,1.37361165637431,0.000871323996810667,0.165309025910378
"FABP3",2170,1.40410705287474,0.000900415183125613,0.165703406150607
"IGJ",3512,1.39799960886457,0.000894338876090353,0.165703406150607
"CLEC4G",339390,1.30494060012502,0.000889146848303207,0.165703406150607
"KCNJ15",3772,1.31467322310981,0.000929422051564447,0.169348059553867
"SYT5",6861,1.3833289745059,0.000948544885602404,0.1702888898048
"THEMIS",387357,1.31260083208103,0.000953092194201728,0.1702888898048
"HTR7",3363,1.3605487681738,0.000966468210971526,0.171018408524125
"C1QTNF4",114900,1.36354449125663,0.000988344501586534,0.1732238463114
"AREG",374,1.29188301791781,0.00104298811338761,0.175347118710753
"ASGR2",433,1.34738314550802,0.0010348460768019,0.175347118710753
"CHGA",1113,1.35435729659155,0.001134667584512,0.175347118710753
"FCGR2B",2213,1.37987493200776,0.00112798877916402,0.175347118710753
"GUCY2C",2984,1.32180653185862,0.00114634092828085,0.175347118710753
"NPY",4852,1.38771354696123,0.0010806987022194,0.175347118710753
"PDE1B",5153,1.34835732824304,0.00105350699759699,0.175347118710753
"RGS7",6000,1.38672462856889,0.00113367937608056,0.175347118710753
"STAT4",6775,1.35356848692135,0.00110233099479229,0.175347118710753
"TNFAIP3",7128,1.34665937176275,0.00109553027676026,0.175347118710753
"HS3ST2",9956,1.36754169371798,0.00107847494370506,0.175347118710753
"CXCL13",10563,1.2860453878638,0.00103797449563862,0.175347118710753
"ODZ2",57451,1.32966072074036,0.00110270284465697,0.175347118710753
"C1orf172",126695,1.25870087524045,0.00106972196739313,0.175347118710753
"SCML4",256380,1.33892039769933,0.00110634836257913,0.175347118710753
"LYPD8",646627,1.31073382326822,0.00115290992577303,0.175347118710753
"RAP1B",5908,1.49916612458484,0.00126296241145472,0.190510633262305
"GABRA4",2557,1.34381817813363,0.00127505044623887,0.190770352537674
"TNFRSF6B",8771,1.30878603216928,0.00128591743072151,0.190844665141677
"CCL20",6364,1.34690823044607,0.00129785544689382,0.191075470313496
"C19orf30",284424,1.29911088194258,0.00134210367021362,0.1960216971662
"CABYR",26256,1.37006695205127,0.00136238962136724,0.197417765370247
"CXCL1",2919,1.33833386237778,0.00138426248640915,0.199020176073341
"KLHL38",340359,1.33837825352965,0.00144222178803441,0.204929552694085
"FAM48B1",100130302,1.3196327573047,0.00144763581210841,0.204929552694085
"TNFRSF17",608,1.32484906735374,0.00148775055853147,0.205831330397506
"CD40",958,1.35023648209147,0.00148220388245995,0.205831330397506
"PPARG",5468,1.37896888660521,0.00150992933780706,0.205831330397506
"STX1A",6804,1.31360463190959,0.00149687625085079,0.205831330397506
"C2orf84",653140,1.3774100510748,0.00150918460365312,0.205831330397506
"WNT8A",7478,1.35057309317627,0.00153177370326325,0.207273760743776
"POM121L8P",29797,1.31981631549445,0.00155258093016893,0.208555816481013
"MGAM",8972,1.36809378462387,0.00157270523189565,0.209728220163592
"THBD",7056,1.32879806412367,0.00163927948316721,0.217033527544793
"TFAP2A",7020,1.35581841348223,0.00168207555890134,0.217157010570959
"SOCS3",9021,1.36274768178102,0.00168741251489687,0.217157010570959
"QSOX1",200058,1.3873129875901,0.0016651327100719,0.217157010570959
"TMEM233",387890,1.29990481737291,0.00166175839442621,0.217157010570959
"IL1B",3553,1.33258255333702,0.00176631488427329,0.221125801464499
"SCARA3",51435,1.37592755731233,0.00176496826837932,0.221125801464499
"EMR3",84658,1.30055098858605,0.00176213519808233,0.221125801464499
"UBE2QL1",134111,1.28098850777216,0.00174756176616935,0.221125801464499
"ANK1",286,1.35019934154994,0.00180340467149119,0.22421196755672
"EYA1",2138,1.39140387948931,0.00181533354159383,0.22421196755672
"BCL2A1",597,1.30400352316148,0.00190216650191657,0.22669650804937
"GPR6",2830,1.28556949597073,0.00192167881626375,0.22669650804937
"HOXA2",3199,1.40805340173418,0.00190555222408527,0.22669650804937
"CCL5",6352,1.29573722585886,0.00186331012707774,0.22669650804937
"SMPX",23676,1.35166327836005,0.00190902836931852,0.22669650804937
"CREB3L3",84699,1.31578595089168,0.00190984836754032,0.22669650804937
"C10orf82",143379,1.34106733122589,0.00190538890415066,0.22669650804937
"OSM",5008,1.31629868741667,0.00199921287619544,0.232857687092561
"ADAD2",161931,1.33465803243812,0.00199705741190352,0.232857687092561
"SDR16C5",195814,1.2844580935753,0.0020328985603117,0.235292026449159
"PCDHGB2",56103,1.4054980754631,0.00206310724158398,0.237296016042937
"IGFBP6",3489,1.26555975325289,0.00213319412931177,0.240243509799931
"MYBPC2",4606,1.28920834298572,0.00215400636401612,0.240243509799931
"BASP1",10409,1.33617223048807,0.00214332565032128,0.240243509799931
"RPL39L",116832,1.35846325639157,0.00213219799143209,0.240243509799931
"TUBBP5",643224,1.391762778602,0.00212531255004756,0.240243509799931
"DENND2D",79961,1.33543039067199,0.00221979520658253,0.246089705944207
"EGR3",1960,1.29234231021226,0.00224908560957104,0.247843847143328
"ACHE",43,1.34468806864973,0.00250131313547228,0.248034140282624
"C2",717,1.33268383783936,0.00227704639955458,0.248034140282624
"CD1D",912,1.25669879720056,0.00237258657223041,0.248034140282624
"CD6",923,1.29622671198847,0.00259605213208838,0.248034140282624
"EREG",2069,1.31411554138309,0.00253199774869322,0.248034140282624
"FKBP1B",2281,1.34517312519985,0.00257845088446924,0.248034140282624
"METTL1",4234,1.27805667180703,0.00249576188974068,0.248034140282624
"PTGS2",5743,1.25911317358246,0.00239344495090642,0.248034140282624
"TECTB",6975,1.28111332450914,0.00258444633185248,0.248034140282624
"TH",7054,1.24290735141743,0.00259313098313109,0.248034140282624
"FCGR2C",9103,1.34019757430074,0.00248907681392574,0.248034140282624
"CABP1",9478,1.30524836586228,0.00240866883087443,0.248034140282624
"RIMBP2",23504,1.3665717818727,0.00230262861932525,0.248034140282624
"VNN3",55350,1.24863920946621,0.00258959742079085,0.248034140282624
"ALOXE3",59344,1.39729742045363,0.00237974793698934,0.248034140282624
"C14orf169",79697,1.36137027018404,0.00251829956023356,0.248034140282624
"OBSCN",84033,1.35776609397775,0.00255633423488782,0.248034140282624
"C6orf114",85411,1.32645093068235,0.00248037587076974,0.248034140282624
"AGAP2",116986,1.35972255778581,0.00260123833475773,0.248034140282624
"OSCAR",126014,1.3099052482286,0.00238019413504521,0.248034140282624
"TRIM50",135892,1.27534011386242,0.00250313675754251,0.248034140282624
"SIK1",150094,1.28162931941681,0.00247635447457754,0.248034140282624
"FAM153B",202134,1.33768514967148,0.00254960124833291,0.248034140282624
"RNF175",285533,1.33925690752599,0.00239000926862548,0.248034140282624
"VGLL3",389136,1.31538748196325,0.00253160338978788,0.248034140282624
"CPLX3",594855,1.32516746491989,0.00256747195105284,0.248034140282624
"FAM83H",286077,1.31497652571376,0.00262019365886207,0.248553731464117
"GNLY",10578,1.2948540657419,0.00265173975844347,0.250256239869924
